country,alcohol_type,servings
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Afghanistan,beer_servings,0
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Albania,beer_servings,89
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Algeria,beer_servings,25
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Andorra,beer_servings,245
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Angola,beer_servings,217
Antigua & Barbuda,beer_servings,102
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Argentina,beer_servings,193
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Armenia,beer_servings,21
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Australia,beer_servings,261
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Austria,beer_servings,279
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Azerbaijan,beer_servings,21
Bahamas,beer_servings,122
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bahrain,beer_servings,42
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Bangladesh,beer_servings,0
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Barbados,beer_servings,143
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belarus,beer_servings,142
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belgium,beer_servings,295
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Belize,beer_servings,263
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Benin,beer_servings,34
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bhutan,beer_servings,23
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bolivia,beer_servings,167
Bosnia-Herzegovina,beer_servings,76
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Botswana,beer_servings,173
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brazil,beer_servings,245
Brunei,beer_servings,31
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
Bulgaria,beer_servings,231
